Issue Key,Issue Name,Issue Type,Components,Total Worklog Time (hours),Time in Done (hours),Time in In Progress (hours),Time in Review (hours),Time in Testing (hours),Time in To Do (hours),Transitions from Done,Transitions from In Progress,Transitions from Review,Transitions from Testing,Transitions from To Do
YIAM-106,Let's meet up: iOS - UI,Sub-task,iOS,3.75,0,51.28178055555556,123.750595,28.5073825,0,0,2,2,2,1
YIAM-107,Let's meet up: iOS - BE,Sub-task,iOS,8.25,0,45.62725611111111,123.75411638888889,28.503912500000002,0,0,1,1,1,1
YIAM-105,Conversation view: iOS - BE - detailny list messages,Sub-task,iOS,10.75,0,120.68335833333335,48.629759722222225,154.5333552777778,0,0,1,1,1,1
YIAM-104,MessagesAction: iOS - BE,Sub-task,iOS,0,0,0,48.600164444444445,154.53447472222223,0,0,0,1,1,1
YIAM-103,MessagesAction: iOS - UI,Sub-task,iOS,0,0,0,48.600990277777775,154.5337513888889,0,0,0,1,1,1
YIAM-102,MessagesList: iOS - UI,Sub-task,iOS,3.75,0,41.59392833333333,169.81146555555554,203.15872444444446,0,0,1,1,1,1
YIAM-101,MessagesList: iOS - BE,Sub-task,iOS,10.75,0,41.59387277777778,218.4204816666667,154.54916694444447,0,0,1,1,1,1
YIAM-100,Interests: iOS - BE,Sub-task,iOS,2.75,0,21.778555555555556,192.93826944444444,707.9184358333333,0,0,1,1,1,1
YIAM-98,User detail: iOS - BE Twilio,Sub-task,iOS,0,0,0.0009841666666666666,48.550485555555554,154.56199222222222,0,0,1,1,1,1
YIAM-99,Interests: iOS - UI,Sub-task,iOS,6.0,0,21.780075277777776,192.93837805555555,707.9183955555555,0,0,1,1,1,1
YIAM-97,User detail: iOS - BE YIAMI,Sub-task,iOS,7.0,0,18.184750833333336,23.104369444444444,492.7305775,0,0,1,1,1,1
YIAM-96,User detail: iOS - UI,Sub-task,iOS,11.5,0,27.65953888888889,41.780457222222225,492.72795222222226,0,0,1,1,1,1
YIAM-94,Daymaker List: iOS - BE,Sub-task,iOS,10.25,0,115.76443972222222,139.64024361111112,707.1265033333333,0,0,1,1,1,1
YIAM-93,Gather information and send to BE,Story,,0,0,192.30288944444445,18.58738,0.006201111111111111,0,0,1,1,1,1
YIAM-95,Recomended: iOS - BE,Sub-task,iOS,15.25,0,25.448912777777778,169.19298305555554,533.7205233333334,0,0,1,1,1,1
YIAM-92,Pick your interests: iOS - UI,Sub-task,iOS,9.25,0,288.61470305555554,22.051826111111108,289.41965361111113,0,0,1,1,1,1
YIAM-91,Login / Signup: iOS - Present Onboarding,Sub-task,iOS,0.75,0,0.0007366666666666667,289.73383416666667,190.00536027777778,0,0,1,1,1,1
YIAM-90,Meet-up QR - BE ,Sub-task,BE,14.0,0,355.0607702777778,59.71291138888889,843.8250111111112,0,0,1,1,1,1
YIAM-89,Options - BE,Sub-task,BE,16.0,0,117.62820805555556,72.62557972222223,993.743645,0,0,1,1,1,1
YIAM-88,Let's meet up - BE - akcie,Sub-task,BE,10.0,0,264.42337,0.012450277777777777,994.1607133333333,0,0,1,1,1,1
YIAM-85,Conversation view - BE - timer,Sub-task,BE,4.0,0,44.76071777777778,2.180216388888889,1211.2355041666667,0,0,1,1,1,1
YIAM-83,Conversation view: iOS - UI - detailny list messages,Sub-task,iOS,14.0,0,188.41705916666666,48.63042361111111,154.5323566666667,0,0,1,1,1,1
YIAM-78,Pick your avatar: BE - scheduler pre mazanie rezervovanych nicknames,Sub-task,BE,2.0,0,1.0316527777777778,73.70398,695.0364916666667,0,0,1,1,1,1
YIAM-79,MessagesList - BE - twilio integracia,Sub-task,BE,5.25,0,234.34307666666666,2.180211388888889,1211.2331916666667,0,0,1,1,1,1
YIAM-80,MessagesList - BE - API + databazove zmeny,Sub-task,BE,12.5,0,44.75398416666666,2.1803755555555555,1211.2328641666666,0,0,1,1,1,1
YIAM-77,Project setup: BE - Notifications,Sub-task,BE,14.25,0,161.73749111111113,3.3921825,129.979285,12.309194722222223,0,2,2,2,2
YIAM-75,Interests: BE - update interests from profile,Sub-task,BE,6.5,0,1.4388577777777778,23.291385000000002,1737.6317530555555,0,0,1,1,1,1
YIAM-74,Account: BE - remove photo,Sub-task,BE,1.0,0,0.0011227777777777777,0.31697250000000005,1737.6315722222223,0,0,1,1,1,1
YIAM-73,Use detail - BE - send message,Sub-task,BE,0,0,20.488048055555556,2.180403611111111,1211.2224480555556,0,0,1,1,1,1
YIAM-72,User detail - BE - user profile,Sub-task,BE,1.0,0,546.1017291666667,2.1812786111111113,1211.2223844444443,0,0,1,1,1,1
YIAM-70,Login / Signup: iOS - Apple signup,Sub-task,iOS,4.0,0,307.96934944444445,2.5781538888888886,501.05521805555554,0,0,1,1,1,1
YIAM-71,Daymaker List: BE - recent chats,Sub-task,BE,10.25,0,24.014345,2.18344,1141.542686111111,65.54934,0,3,2,2,2
YIAM-69,Login / Signup: iOS - Google signup,Sub-task,iOS,4.5,0,309.9263608333334,2.5785575,567.2700413888889,25.15579416666667,0,4,2,2,3
YIAM-68,Account: iOS - Image picker,Sub-task,iOS,1.0,0,1078.3937405555555,0.004304444444444445,922.6657200000001,0,0,1,1,1,1
YIAM-67,Project setup: iOS - Reusable components,Sub-task,iOS,15.25,0,0.211525,140.55049888888888,0.001128611111111111,0,0,1,1,1,1
YIAM-65,Settings: iOS - napojení na BE,Sub-task,iOS,0,0,0,0.0004375,0.0005258333333333333,0,0,0,1,1,1
YIAM-66,Settings: iOS - Permisions,Sub-task,iOS,8.0,0,1100.6530097222221,0.0019866666666666665,900.8518605555555,0,0,1,1,1,1
YIAM-62,Account: iOS - UI,Sub-task,iOS,8.75,0,1078.8948733333334,0.0044733333333333335,922.6676505555555,0,0,1,1,1,1
YIAM-61,Profile: iOS - napojení na BE,Sub-task,iOS,2.0,0,46.33459777777777,72.932865,1091.2766305555556,0,0,1,1,1,1
YIAM-64,Settings: iOS - UI,Sub-task,iOS,2.75,0,911.0201716666666,167.81778,922.6775583333333,0,0,1,1,1,1
YIAM-60,Profile: iOS - UI,Sub-task,iOS,3.75,0,837.36878,72.93373027777778,1091.2768169444446,0,0,1,1,1,1
YIAM-59,Meet-up QR,Story,,0,1013.8970911111111,0,0.0010255555555555556,0.0011111111111111111,0,1,0,1,1,1
